ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,13507.5 px,7526.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
2,12241.5 px,7349.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
3,12818.5 px,7676.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
4,10730.5 px,6857.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
5,10235.5 px,8351.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
6,12534.5 px,8276.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
7,12405.5 px,8407.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
8,12570.5 px,8588.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
9,13331.5 px,8666.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
10,13237.5 px,9034.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
11,13423.5 px,9109.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
12,14239.5 px,8794.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
13,13900.5 px,9170.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
14,14102.5 px,8468.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
15,12197.5 px,9097.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
16,9965.5 px,8947.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
17,10079.5 px,9149.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
18,10398.5 px,9033.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
19,9449.5 px,9799.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
20,9573.5 px,9939.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
21,9375.5 px,10305.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
22,13971.5 px,9518.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
23,13259.5 px,9550.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
24,13324.5 px,9441.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
25,12494.5 px,9367.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
26,10407.5 px,10591.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
27,9794.5 px,10892.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
28,9919.5 px,11194.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
29,10217.5 px,11405.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
30,10159.5 px,11331.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
31,10265.5 px,11285.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
32,9334.5 px,11391.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
33,9428.5 px,11453.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
34,9625.5 px,11401.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
35,9015.5 px,11614.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
36,8974.5 px,10711.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
37,10640.5 px,11598.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
38,9526.5 px,11779.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
39,14154.5 px,11755.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
40,14121.5 px,10989.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
41,15973.5 px,11802.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
42,16933.5 px,12466.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
43,19055.5 px,12097.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
44,12991.5 px,12870.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
45,12314.5 px,13884.5 px,[Document 3BRamp080_03_09_2022_SV_Counted.psb],Great Egret,3BRamp080_03_09_2022,SV
