ItemNumber,Xpos,Ypos,image,Species,Tile,Annotator
1,7116.5 px,6810.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2022,LG
2,9459.5 px,6760.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2022,LG
3,7705.5 px,7478.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2023,LG
4,8157.5 px,7884.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2024,LG
5,13558.5 px,6049.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2025,LG
6,11120.5 px,7483.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2026,LG
7,15181.5 px,7297.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2027,LG
8,15360.5 px,11625.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2028,LG
9,12524.5 px,11428.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2029,LG
10,12951.5 px,11840.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2030,LG
11,16251.5 px,13064.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2031,LG
12,11392.5 px,15207.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2032,LG
13,13108.5 px,20266.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Blue Heron,CypressCity_04_07_2033,LG
14,7124.5 px,9172.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2034,LG
15,7625.5 px,8893.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2035,LG
16,6939.5 px,9713.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2036,LG
17,8249.5 px,7351.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2037,LG
18,8711.5 px,7505.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2038,LG
19,8671.5 px,5397.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2039,LG
20,14409.5 px,6152.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2040,LG
21,11386.5 px,6364.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2041,LG
22,11298.5 px,7605.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2042,LG
23,13212.5 px,8975.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2043,LG
24,7086.5 px,8234.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2044,LG
25,10487.5 px,10133.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2045,LG
26,10745.5 px,9592.5 px,[Document CypressCity_04_07_2022_Counted_LG.tif],Great Egret,CypressCity_04_07_2046,LG
